Key,File,Type,UsedInMainMenu,NoTranslate,english,Spanish
playerLPorchLight01,blocks,Light,,,Old Fashion Porch Light,Luz de pórtico de moda antigua
playerLPorchLight04,blocks,Light,,,Porch Light,Luz del porche
steelGarageDoor5x3Centered_PoweredWhite,blocks,block,,,White Steel Garage Door 5x3[Centered](Powered),Puerta de garaje de acero blanca 5x3[Centrada](con alimentación)
steelGarageDoor5x3Centered_PoweredBrown,blocks,block,,,Brown Steel Garage Door 5x3[Centered](Powered),Puerta de garaje de acero marrón 5x3[Centrada](con alimentación)
steelGarageDoor5x3Centered_PoweredRed,blocks,block,,,Red Steel Garage Door 5x3[Centered](Powered),Puerta de garaje de acero roja 5x3[Centrada](con alimentación)
steelGarageDoor5x3Centered_PoweredOrange,blocks,block,,,Orange Steel Garage Door 5x3[Centered](Powered),Puerta de garaje de acero naranja 5x3[Centrada](con alimentación)
steelGarageDoor5x3Centered_PoweredYellow,blocks,block,,,Yellow Steel Garage Door 5x3[Centered](Powered),Puerta de garaje de acero amarilla 5x3[Centrada](con alimentación)
steelGarageDoor5x3Centered_PoweredGreen,blocks,block,,,Green Steel Garage Door 5x3[Centered](Powered),Puerta de garaje de acero verde 5x3[Centrada](con alimentación)
steelGarageDoor5x3Centered_PoweredBlue,blocks,block,,,Blue Steel Garage Door 5x3[Centered](Powered),Puerta de garaje de acero azul 5x3[Centrada](con alimentación)
steelGarageDoor5x3Centered_PoweredGrey,blocks,block,,,Grey Steel Garage Door 5x3[Centered](Powered),Puerta de garaje de acero gris 5x3[Centrada](con alimentación)
steelGarageDoor5x3Centered_PoweredBlack,blocks,block,,,Black Steel Garage Door 5x3[Centered](Powered),Puerta de garaje de acero negra 5x3[Centrada](con alimentación)
steelGarageDoor5x3Centered_PoweredArmyGreen,blocks,block,,,Army Green Steel Garage Door 5x3[Centered](Powered),Puerta de garaje de acero verde militar 5x3[Centrada](con alimentación)

rollUpDoor3x3_PoweredWhite,blocks,block,,,White Roll Up Door 3x3(Powered),Puerta enrollable blanca de 3x3(con alimentación)
rollUpDoor3x3_PoweredBrown,blocks,block,,,Brown Roll Up Door 3x3(Powered),Puerta enrollable marrón de 3x3(con alimentación)
rollUpDoor3x3_PoweredRed,blocks,block,,,Red Roll Up Door 3x3(Powered),Puerta enrollable roja de 3x3(con alimentación)
rollUpDoor3x3_PoweredOrange,blocks,block,,,Orange Roll Up Door 3x3(Powered),Puerta enrollable naranja de 3x3(con alimentación)
rollUpDoor3x3_PoweredYellow,blocks,block,,,Yellow Roll Up Door 3x3(Powered),Puerta enrollable amarilla de 3x3(con alimentación)
rollUpDoor3x3_PoweredGreen,blocks,block,,,Green Roll Up Door 3x3(Powered),Puerta enrollable verde de 3x3(con alimentación)
rollUpDoor3x3_PoweredBlue,blocks,block,,,Blue Roll Up Door 3x3(Powered),Puerta enrollable azul de 3x3(con alimentación)
rollUpDoor3x3_PoweredPurple,blocks,block,,,Purple Roll Up Door 3x3(Powered),Puerta enrollable violeta de 3x3(con alimentación)
rollUpDoor3x3_PoweredGrey,blocks,block,,,Grey Roll Up Door 3x3(Powered),Puerta enrollable gris de 3x3(con alimentación)
rollUpDoor3x3_PoweredBlack,blocks,block,,,Black Roll Up Door 3x3(Powered),Puerta enrollable negra de 3x3(con alimentación)
rollUpDoor3x3_PoweredPink,blocks,block,,,Pink Roll Up Door 3x3(Powered),Puerta enrollable rosa de 3x3(con alimentación)
rollUpDoor3x3_PoweredVariantHelper,blocks,block,,,White Roll Up Door 3x3(Powered),Puerta enrollable blanca de 3x3(con alimentación)

rollUpDoor5x4_PoweredWhite,blocks,block,,,White Roll Up Door 5x4(Powered),Puerta enrollable blanca de 5x4(con alimentación)
rollUpDoor5x4_PoweredBrown,blocks,block,,,Brown Roll Up Door 5x4(Powered),Puerta enrollable marrón de 5x4(con alimentación)
rollUpDoor5x4_PoweredRed,blocks,block,,,Red Roll Up Door 5x4(Powered),Puerta enrollable roja de 5x4(con alimentación)
rollUpDoor5x4_PoweredOrange,blocks,block,,,Orange Roll Up Door 5x4(Powered),Puerta enrollable naranja de 5x4(con alimentación)
rollUpDoor5x4_PoweredYellow,blocks,block,,,Yellow Roll Up Door 5x4(Powered),Puerta enrollable amarilla de 5x4(con alimentación)
rollUpDoor5x4_PoweredGreen,blocks,block,,,Green Roll Up Door 5x4(Powered),Puerta enrollable verde de 5x4(con alimentación)
rollUpDoor5x4_PoweredBlue,blocks,block,,,Blue Roll Up Door 5x4(Powered),Puerta enrollable azul de 5x4(con alimentación)
rollUpDoor5x4_PoweredPurple,blocks,block,,,Purple Roll Up Door 5x4(Powered),Puerta enrollable violeta de 5x4(con alimentación)
rollUpDoor5x4_PoweredGrey,blocks,block,,,Grey Roll Up Door 5x4(Powered),Puerta enrollable gris de 5x4(con alimentación)
rollUpDoor5x4_PoweredBlack,blocks,block,,,Black Roll Up Door 5x4(Powered),Puerta enrollable negra de 5x4(con alimentación)
rollUpDoor5x4_PoweredPink,blocks,block,,,Pink Roll Up Door 5x4(Powered),Puerta enrollable rosa de 5x4(con alimentación)
rollUpDoor5x4_PoweredVariantHelper,blocks,block,,,White Roll Up Door 5x4(Powered),Puerta enrollable blanca de 5x4(con alimentación)

rollUpDoor7x4_PoweredWhite,blocks,block,,,White Roll Up Door 7x4(Powered),Puerta enrollable blanca de 7x4(con alimentación)
rollUpDoor7x4_PoweredBrown,blocks,block,,,Brown Roll Up Door 7x4(Powered),Puerta enrollable marrón de 7x4(con alimentación)
rollUpDoor7x4_PoweredRed,blocks,block,,,Red Roll Up Door 7x4(Powered),Puerta enrollable roja de 7x4(con alimentación)
rollUpDoor7x4_PoweredOrange,blocks,block,,,Orange Roll Up Door 7x4(Powered),Puerta enrollable naranja de 7x4(con alimentación)
rollUpDoor7x4_PoweredYellow,blocks,block,,,Yellow Roll Up Door 7x4(Powered),Puerta enrollable amarilla de 7x4(con alimentación)
rollUpDoor7x4_PoweredGreen,blocks,block,,,Green Roll Up Door 7x4(Powered),Puerta enrollable verde de 7x4(con alimentación)
rollUpDoor7x4_PoweredBlue,blocks,block,,,Blue Roll Up Door 7x4(Powered),Puerta enrollable azul de 7x4(con alimentación)
rollUpDoor7x4_PoweredPurple,blocks,block,,,Purple Roll Up Door 7x4(Powered),Puerta enrollable violeta de 7x4(con alimentación)
rollUpDoor7x4_PoweredGrey,blocks,block,,,Grey Roll Up Door 7x4(Powered),Puerta enrollable gris de 7x4(con alimentación)
rollUpDoor7x4_PoweredBlack,blocks,block,,,Black Roll Up Door 7x4(Powered),Puerta enrollable negra de 7x4(con alimentación)
rollUpDoor7x4_PoweredPink,blocks,block,,,Pink Roll Up Door 7x4(Powered),Puerta enrollable rosa de 7x4(con alimentación)
rollUpDoor7x4_PoweredVariantHelper,blocks,block,,,White Roll Up Door 7x4(Powered),Puerta enrollable blanca de 7x4(con alimentación)
switchVariantHelper,blocks,Electricity,,,Switch,Interruptor
