Key,File,Type,UsedInMainMenu,NoTranslate,english,Spanish
fourSkillPoint_P0,item,book,,,"+4 Skill Points","+4 Puntos de Habilidad"
lvlUpChallengeBoxP1_450,item,lvlkit,,,♦ Max LVL Box ♦,♦ Caja de LVL Maximo ♦
lvlUpChallengeBoxP2_50,item,lvlkit,,,[Lvl 50] ★ Reward Box ★,[Lvl 50] Caja de recompensa ★
lvlUpChallengeBoxP2_100,item,lvlkit,,,[Lvl 100] ★ Reward Box ★,[Lvl 100] ★ Caja de recompensa ★
lvlUpChallengeBoxP2_150,item,lvlkit,,,[Lvl 150] ★ Reward Box ★,[Lvl 150] ★ Caja de recompensa ★
lvlUpChallengeBoxP2_200,item,lvlkit,,,[Lvl 200] ★ Reward Box ★,[Lvl 200] ★ Caja de recompensa ★
lvlUpChallengeBoxP2_250,item,lvlkit,,,[Lvl 250] ★ Reward Box ★,[Lvl 250] ★ Caja de recompensa ★
lvlUpChallengeBoxP2_300,item,lvlkit,,,[Lvl 300] ★ Reward Box ★,[Lvl 300] ★ Caja de recompensa ★
lvlUpChallengeBoxP2_350,item,lvlkit,,,[Lvl 350] ★ Reward Box ★,[Lvl 350] ★ Caja de recompensa ★
lvlUpChallengeBoxP2_400,item,lvlkit,,,[Lvl 400] ★ Reward Box ★,[Lvl 400] ★ Caja de recompensa ★
lvlUpChallengeBoxP2_450,item,lvlkit,,,★ Max LVL Box ★,★ Caja de recompensa ★
lvlUpChallengeBoxDesc,item,lvlkit,,,A special pack with a reward for leveling up. The contents vary depending on the level of the box.,Un paquete especial con una recompensa por subir de nivel. El contenido varía según el nivel de la caja.

challengeTitlePrestige0,challenge,tittle,,,[F0EA4C]• Prestige 1 - Profesional •[-],[F0EA4C]• Prestigio 1 - Profesional •[-]
challengeTitlePrestige1,challenge,tittle,,,[EA4224]♦ Prestige 2 - Master ♦[-],[EA4224]♦ Prestigio 2 - Maestro ♦[-]
challengeTitlePrestige2,challenge,tittle,,,[00B0F6]★ Prestige 3 - Legend ★[-],[00B0F6]★ Prestigio 3 - Legendario ★[-]
challengeRewardPrestige0,challenge,tittle,,,[F0EA4C]• Max level Box •,[F0EA4C]• Caja de nivel Maximo •
challengeRewardPrestige1,challenge,tittle,,,[EA4224]♦ Max level Box ♦,[EA4224]♦ Caja de nivel Maximo ♦
challengeRewardPrestige2,challenge,tittle,,,[00B0F6]★ Max level Box ★,[00B0F6]★ Caja de nivel Maximo ★

challengePrestige0.LVL50,challenge,title,,,Level 50 Reward!,¡Recompensa Nivel 50!
challengePrestige0.LVL100,challenge,title,,,Level 100 Reward!,¡Recompensa Nivel 100!
challengePrestige0.LVL150,challenge,title,,,Level 150 Reward!,¡Recompensa Nivel 150!
challengePrestige0.LVL200,challenge,title,,,Level 200 Reward!,¡Recompensa Nivel 200!
challengePrestige0.LVL250,challenge,title,,,Level 250 Reward!,¡Recompensa Nivel 250!
challengePrestige0.LVL300,challenge,title,,,Level 300 Reward!,¡Recompensa Nivel 300!
challengePrestige0.LVL350,challenge,title,,,Level 350 Reward!,¡Recompensa Nivel 350!
challengePrestige0.LVL400,challenge,title,,,Level 400 Reward!,¡Recompensa Nivel 400!
challengePrestige0.LVL450,challenge,title,,,Level 450 Reward!,¡Recompensa Nivel 450!
challengePrestige0.C,challenge,title,,,Apply Prestige 1,Aplica Prestigio 1

challengePrestige1.LVL50,challenge,title,,,Prestige 1 Level 50 Reward!,¡Recompensa Prestigio 1 Nivel 50!
challengePrestige1.LVL100,challenge,title,,,Prestige 1 Level 100 Reward!,¡Recompensa Prestigio 1 Nivel 100!
challengePrestige1.LVL150,challenge,title,,,Prestige 1 Level 150 Reward!,¡Recompensa Prestigio 1 Nivel 150!
challengePrestige1.LVL200,challenge,title,,,Prestige 1 Level 200 Reward!,¡Recompensa Prestigio 1 Nivel 200!
challengePrestige1.LVL250,challenge,title,,,Prestige 1 Level 250 Reward!,¡Recompensa Prestigio 1 Nivel 250!
challengePrestige1.LVL300,challenge,title,,,Prestige 1 Level 300 Reward!,¡Recompensa Prestigio 1 Nivel 300!
challengePrestige1.LVL350,challenge,title,,,Prestige 1 Level 350 Reward!,¡Recompensa Prestigio 1 Nivel 350!
challengePrestige1.LVL400,challenge,title,,,Prestige 1 Level 400 Reward!,¡Recompensa Prestigio 1 Nivel 400!
challengePrestige1.LVL450,challenge,title,,,Prestige 1 Level 450 Reward!,¡Recompensa Prestigio 1 Nivel 450!
challengePrestige1.C,challenge,title,,,Apply Prestige 2,Aplica Prestigio 2

challengePrestige2.LVL50,challenge,title,,,Prestige 2 Level 50 Reward!,¡Recompensa Prestigio 2 Nivel 50!
challengePrestige2.LVL100,challenge,title,,,Prestige 2 Level 100 Reward!,¡Recompensa Prestigio 2 Nivel 100!
challengePrestige2.LVL150,challenge,title,,,Prestige 2 Level 150 Reward!,¡Recompensa Prestigio 2 Nivel 150!
challengePrestige2.LVL200,challenge,title,,,Prestige 2 Level 200 Reward!,¡Recompensa Prestigio 2 Nivel 200!
challengePrestige2.LVL250,challenge,title,,,Prestige 2 Level 250 Reward!,¡Recompensa Prestigio 2 Nivel 250!
challengePrestige2.LVL300,challenge,title,,,Prestige 2 Level 300 Reward!,¡Recompensa Prestigio 2 Nivel 300!
challengePrestige2.LVL350,challenge,title,,,Prestige 2 Level 350 Reward!,¡Recompensa Prestigio 2 Nivel 350!
challengePrestige2.LVL400,challenge,title,,,Prestige 2 Level 400 Reward!,¡Recompensa Prestigio 2 Nivel 400!
challengePrestige2.LVL450,challenge,title,,,Prestige 2 Level 450 Reward!,¡Recompensa Prestigio 2 Nivel 450!
challengePrestige2.C,challenge,title,,,Apply Prestige 2,Aplica Prestigio 2

challenge_Prestige0_short_50,challenge,short,,,Achive LVL 50,Sube a lvl 50
challenge_Prestige0_short_100,challenge,short,,,Achive LVL 100,Sube a lvl 100
challenge_Prestige0_short_150,challenge,short,,,Achive LVL 150,Sube a lvl 150
challenge_Prestige0_short_200,challenge,short,,,Achive LVL 200,Sube a lvl 200
challenge_Prestige0_short_250,challenge,short,,,Achive LVL 250,Sube a lvl 250
challenge_Prestige0_short_300,challenge,short,,,Achive LVL 300,Sube a lvl 300
challenge_Prestige0_short_350,challenge,short,,,Achive LVL 350,Sube a lvl 350
challenge_Prestige0_short_400,challenge,short,,,Achive LVL 400,Sube a lvl 400
challenge_Prestige0_short_450,challenge,short,,,Achive LVL 450,Sube a lvl 450
challenge_Prestige0_short_C,challenge,short,,,Use prestige 1 medal

challenge_Prestige1_short_50,challenge,short,,,Achive Prestige 1 LVL 50,Sube a Prestigio 1 lvl 50
challenge_Prestige1_short_100,challenge,short,,,Achive Prestige 1 LVL 100,Sube a Prestigio 1 lvl 100
challenge_Prestige1_short_150,challenge,short,,,Achive Prestige 1 LVL 150,Sube a Prestigio 1 lvl 150
challenge_Prestige1_short_200,challenge,short,,,Achive Prestige 1 LVL 200,Sube a Prestigio 1 lvl 200
challenge_Prestige1_short_250,challenge,short,,,Achive Prestige 1 LVL 250,Sube a Prestigio 1 lvl 250
challenge_Prestige1_short_300,challenge,short,,,Achive Prestige 1 LVL 300,Sube a Prestigio 1 lvl 300
challenge_Prestige1_short_350,challenge,short,,,Achive Prestige 1 LVL 350,Sube a Prestigio 1 lvl 350
challenge_Prestige1_short_400,challenge,short,,,Achive Prestige 1 LVL 400,Sube a Prestigio 1 lvl 400
challenge_Prestige1_short_450,challenge,short,,,Achive Prestige 1 LVL 450,Sube a Prestigio 1 lvl 450
challenge_Prestige1_short_C,challenge,short,,,Use prestige 2 medal

challenge_Prestige2_short_50,challenge,short,,,Achive Prestige 2 LVL 50,Sube a Prestigio 2 lvl 50
challenge_Prestige2_short_100,challenge,short,,,Achive Prestige 2 LVL 100,Sube a Prestigio 2 lvl 100
challenge_Prestige2_short_150,challenge,short,,,Achive Prestige 2 LVL 150,Sube a Prestigio 2 lvl 150
challenge_Prestige2_short_200,challenge,short,,,Achive Prestige 2 LVL 200,Sube a Prestigio 2 lvl 200
challenge_Prestige2_short_250,challenge,short,,,Achive Prestige 2 LVL 250,Sube a Prestigio 2 lvl 250
challenge_Prestige2_short_300,challenge,short,,,Achive Prestige 2 LVL 300,Sube a Prestigio 2 lvl 300
challenge_Prestige2_short_350,challenge,short,,,Achive Prestige 2 LVL 350,Sube a Prestigio 2 lvl 350
challenge_Prestige2_short_400,challenge,short,,,Achive Prestige 2 LVL 400,Sube a Prestigio 2 lvl 400
challenge_Prestige2_short_450,challenge,short,,,Achive Prestige 2 LVL 450,Sube a Prestigio 2 lvl 450
challenge_Prestige2_short_C,challenge,short,,,Use prestige 3 medal

challenge_Prestige0_desc_50,challenge,desc,,,Congratulation on achiving LVL 50\nRedem this challenge to get a reward box,Felicidades por alcanzar el NIVEL 50\nCanjea este desafio para obtener una caja de recompesas
challenge_Prestige0_desc_100,challenge,desc,,,Congratulation on achiving LVL 100\nRedem this challenge to get a reward box,Felicidades por alcanzar el NIVEL 100\nCanjea este desafio para obtener una caja de recompesas
challenge_Prestige0_desc_150,challenge,desc,,,Congratulation on achiving LVL 150\nRedem this challenge to get a reward box,Felicidades por alcanzar el NIVEL 150\nCanjea este desafio para obtener una caja de recompesas
challenge_Prestige0_desc_200,challenge,desc,,,Congratulation on achiving LVL 200\nRedem this challenge to get a reward box,Felicidades por alcanzar el NIVEL 200\nCanjea este desafio para obtener una caja de recompesas
challenge_Prestige0_desc_250,challenge,desc,,,Congratulation on achiving LVL 250\nRedem this challenge to get a reward box,Felicidades por alcanzar el NIVEL 250\nCanjea este desafio para obtener una caja de recompesas
challenge_Prestige0_desc_300,challenge,desc,,,Congratulation on achiving LVL 300\nRedem this challenge to get a reward box,Felicidades por alcanzar el NIVEL 300\nCanjea este desafio para obtener una caja de recompesas
challenge_Prestige0_desc_350,challenge,desc,,,Congratulation on achiving LVL 350\nRedem this challenge to get a reward box\n\n[D13A3A]On this reward you will get a prestige medal be sure to know what it does before you use it[-],"¡Felicidades por alcanzar el NIVEL 350!\nCanjea este desafío para obtener una caja de recompensa\n\n[D13A3A]En esta recompensa recibirás una medalla de prestigio, asegúrate de saber para qué sirve antes de usarla[-]"
challenge_Prestige0_desc_400,challenge,short,,,"Congratulation on achiving LVL 400\nRedem this challenge to get a reward box\n\n[D13A3A]WARNING: Thic challenge can't be completed if you prestige before reaching this level[-]","¡Felicidades por alcanzar el NIVEL 400!\nCanjea este desafío para obtener una caja de recompensa\n\n[D13A3A]ADVERTENCIA: Este desafío no se puede completar si haces prestigio antes de alcanzar este nivel[-]"
challenge_Prestige0_desc_450,challenge,desc,,,"Congratulation on achiving MAX LEVEL!!\nRedem this challenge to get a reward box\n\n[D13A3A]WARNING: Thic challenge can't be completed if you prestige before reaching this level[-]","¡Felicidades por alcanzar el NIVEL MÁXIMO!\nCanjea este desafío para obtener una caja de recompensa\n\n[D13A3A]ADVERTENCIA: Este desafío no se puede completar si haces prestigio antes de alcanzar este nivel[-]"
challenge_Prestige0_desc_C,challenge,desc,,,

challenge_Prestige1_desc_50,challenge,desc,,,Congratulation on achiving Prestige 1 LVL 50\nRedem this challenge to get a reward box,Felicidades por alcanzar el Prestigio 1 NIVEL 50\nCanjea este desafio para obtener una caja de recompesas
challenge_Prestige1_desc_100,challenge,desc,,,Congratulation on achiving Prestige 1 LVL 100\nRedem this challenge to get a reward box,Felicidades por alcanzar el Prestigio 1 NIVEL 100\nCanjea este desafio para obtener una caja de recompesas
challenge_Prestige1_desc_150,challenge,desc,,,Congratulation on achiving Prestige 1 LVL 150\nRedem this challenge to get a reward box,Felicidades por alcanzar el Prestigio 1 NIVEL 150\nCanjea este desafio para obtener una caja de recompesas
challenge_Prestige1_desc_200,challenge,desc,,,Congratulation on achiving Prestige 1 LVL 200\nRedem this challenge to get a reward box,Felicidades por alcanzar el Prestigio 1 NIVEL 200\nCanjea este desafio para obtener una caja de recompesas
challenge_Prestige1_desc_250,challenge,desc,,,Congratulation on achiving Prestige 1 LVL 250\nRedem this challenge to get a reward box,Felicidades por alcanzar el Prestigio 1 NIVEL 250\nCanjea este desafio para obtener una caja de recompesas
challenge_Prestige1_desc_300,challenge,desc,,,Congratulation on achiving Prestige 1 LVL 300\nRedem this challenge to get a reward box,Felicidades por alcanzar el Prestigio 1 NIVEL 300\nCanjea este desafio para obtener una caja de recompesas
challenge_Prestige1_desc_350,challenge,desc,,,Congratulation on achiving Prestige 1 LVL 350\nRedem this challenge to get a reward box\n\n[D13A3A]On this reward you will get a prestige medal be sure to know what it does before you use it[-],"¡Felicidades por alcanzar el Prestigio 1 NIVEL 350!\nCanjea este desafío para obtener una caja de recompensa\n\n[D13A3A]En esta recompensa recibirás una medalla de prestigio, asegúrate de saber para qué sirve antes de usarla[-]"
challenge_Prestige1_desc_400,challenge,short,,,"Congratulation on achiving Prestige 1 LVL 400\nRedem this challenge to get a reward box\n\n[D13A3A]WARNING: Thic challenge can't be completed if you prestige before reaching this level[-]","¡Felicidades por alcanzar el Prestigio 1 NIVEL 400!\nCanjea este desafío para obtener una caja de recompensa\n\n[D13A3A]ADVERTENCIA: Este desafío no se puede completar si haces prestigio antes de alcanzar este nivel[-]"
challenge_Prestige1_desc_450,challenge,desc,,,"Congratulation on achiving Prestige 1 MAX LEVEL!!\nRedem this challenge to get a reward box\n\n[D13A3A]WARNING: Thic challenge can't be completed if you prestige before reaching this level[-]","¡Felicidades por alcanzar el Prestigio 1 NIVEL MÁXIMO!\nCanjea este desafío para obtener una caja de recompensa\n\n[D13A3A]ADVERTENCIA: Este desafío no se puede completar si haces prestigio antes de alcanzar este nivel[-]"
challenge_Prestige1_desc_C,challenge,desc,,,

challenge_Prestige2_desc_50,challenge,desc,,,Congratulation on achiving Prestige 2 LVL 50\nRedem this challenge to get a reward box,Felicidades por alcanzar el Prestigio 2 NIVEL 50\nCanjea este desafio para obtener una caja de recompesas
challenge_Prestige2_desc_100,challenge,desc,,,Congratulation on achiving Prestige 2 LVL 100\nRedem this challenge to get a reward box,Felicidades por alcanzar el Prestigio 2 NIVEL 100\nCanjea este desafio para obtener una caja de recompesas
challenge_Prestige2_desc_150,challenge,desc,,,Congratulation on achiving Prestige 2 LVL 150\nRedem this challenge to get a reward box,Felicidades por alcanzar el Prestigio 2 NIVEL 150\nCanjea este desafio para obtener una caja de recompesas
challenge_Prestige2_desc_200,challenge,desc,,,Congratulation on achiving Prestige 2 LVL 200\nRedem this challenge to get a reward box,Felicidades por alcanzar el Prestigio 2 NIVEL 200\nCanjea este desafio para obtener una caja de recompesas
challenge_Prestige2_desc_250,challenge,desc,,,Congratulation on achiving Prestige 2 LVL 250\nRedem this challenge to get a reward box,Felicidades por alcanzar el Prestigio 2 NIVEL 250\nCanjea este desafio para obtener una caja de recompesas
challenge_Prestige2_desc_300,challenge,desc,,,Congratulation on achiving Prestige 2 LVL 300\nRedem this challenge to get a reward box,Felicidades por alcanzar el Prestigio 2 NIVEL 300\nCanjea este desafio para obtener una caja de recompesas
challenge_Prestige2_desc_350,challenge,desc,,,Congratulation on achiving Prestige 2 LVL 350\nRedem this challenge to get a reward box\n\n[D13A3A]On this reward you will get a prestige medal be sure to know what it does before you use it[-],"¡Felicidades por alcanzar el Prestigio 2 NIVEL 350!\nCanjea este desafío para obtener una caja de recompensa\n\n[D13A3A]En esta recompensa recibirás una medalla de prestigio, asegúrate de saber para qué sirve antes de usarla[-]"
challenge_Prestige2_desc_400,challenge,short,,,"Congratulation on achiving Prestige 2 LVL 400\nRedem this challenge to get a reward box\n\n[D13A3A]WARNING: Thic challenge can't be completed if you prestige before reaching this level[-]","¡Felicidades por alcanzar el Prestigio 2 NIVEL 400!\nCanjea este desafío para obtener una caja de recompensa\n\n[D13A3A]ADVERTENCIA: Este desafío no se puede completar si haces prestigio antes de alcanzar este nivel[-]"
challenge_Prestige2_desc_450,challenge,desc,,,"Congratulation on achiving Prestige 2 MAX LEVEL!!\nRedem this challenge to get a reward box\n\n[D13A3A]WARNING: Thic challenge can't be completed if you prestige before reaching this level[-]","¡Felicidades por alcanzar el Prestigio 2 NIVEL MÁXIMO!\nCanjea este desafío para obtener una caja de recompensa\n\n[D13A3A]ADVERTENCIA: Este desafío no se puede completar si haces prestigio antes de alcanzar este nivel[-]"
challenge_Prestige2_short_C,challenge,desc,,,

challengeBurntSurvivalMinutes,Challenges,Challenge,,,Burnt Forest Explorer,Explorador del bosque quemado
challengeBurntSurvivalMinutesShort,Challenges,Challenge,,,Complete quest in the Burnt Forest.,Completa quest en el bosque quemado.
challengeBurntSurvivalMinutesDesc,Challenges,Challenge,,,Complete 2 quest of any type in the [DECEA3]Burnt Forest[-],Completa 2 quest de cualquier tipo en [DECEA3]bosque quemado[-].

challengeDesertSurvivalMinutes,Challenges,Title,,,Desert Explorer,Explorador del desierto
challengeDeserSurvivalMinutesShort,Challenges,ShortD,,,Complete quest in the Desert.,Completa quest en el desierto.
challengeDeserSurvivalMinutesDesc,Challenges,Desc,,,Complete 2 quest of any type in the [DECEA3]Desert[-],Completa 2 quest de cualquier tipo en [DECEA3]desierto[-].

challengeSnowSurvivalMinutes,Challenges,Title,,,Snow Explorer,Explorador del nieve
challengeSnowSurvivalMinutesShort,Challenges,ShortD,,,Complete quest in the Snow.,Completa quest en el nieve.
challengeSnowSurvivalMinutesDesc,Challenges,Desc,,,Complete 2 quest of any type in the [DECEA3]Snow[-],Completa 2 quest de cualquier tipo en [DECEA3]nieve[-].

challengeWastelandSurvivalMinutes,Challenges,Title,,,Wasteland Explorer,Explorador del bosque quemado
challengeWastelandSurvivalMinutesShort,Challenges,ShortD,,,Complete quest in the Wasteland.,Completa quest en el bosque quemado.
challengeWastelandSurvivalMinutesDesc,Challenges,Desc,,,Complete 2 quest of any type in the [DECEA3]Wasteland[-],Completa 2 quest de cualquier tipo en [DECEA3]bosque quemado[-].

